"English Title","China Runtime","Converted Runtime","China Release"
"The Devil and Miss Jones",01:28:26,88,
"The Apostle",02:13:57,133,
"The Family Jewels",01:35:41,95,
"Huck and the King of Hearts",01:37:48,97,
"Come Blow Your Horn",01:47:11,107,
"Resurrection Mary",01:37:18,97,
"When Nietzsche Wept",01:44:48,104,4/7/12
"The Vault",01:22:17,82,
"The Face of the Serpent",01:29:38,89,"null"
"Reign Over Me",01:59:21,119,
"Shortcut to Happiness",01:41:59,101,
"Gracie",01:36:42,96,
"The Deal",01:47:43,107,"6/17/05"
"The Stooge",01:35:49,95,
"MY FRIEND IRMA GOES WEST",01:26:49,86,
"Money from Home",01:35:53,95,
"Too Late Blues",01:36:30,96,
"Fear Strikes Out",01:36:12,96,
"The Lawless",01:18:59,78,
"Appointment with Danger",01:26:34,86,
"All in a Night",01:30:18,90,
"Old Joy",01:12:26,72,
"Aashi Qanaa",01:30:36,90,
"Within These Walls",01:26:11,86,"null"
"The Ultimate Gift",01:57:06,117,
"Entry Level",01:24:20,84,
"Walker Payne",01:29:57,89,"8/26/08"
"The Work and the Glory II: American Zion",01:39:47,99,
"Winter Passing",01:38:58,98,
"Darkon",01:30:35,90,
"Coast to Coast",01:41:40,101,"null"
"Brother's Keeper",01:22:18,82,"null"
"A Thousand Years of Good Prayers",01:18:32,78,
"Rail Kings",01:30:42,90,
"Nobel Son",01:48:45,108,
"Modern Times",01:26:52,86,
"The Darwin Awards",01:27:44,87,
"Attack of the 50 Ft. Woman",01:21:52,81,"null"
"Shadow Warriors 1",01:29:43,89,"null"
"The Gold Rush",01:11:48,71,
"College",02:08:34,128,
"What's Eating Gilbert Grape",01:57:50,117,
"The Great Dictator",02:04:53,124,"10/15/40"
"The Abyss",02:20:16,140,
"Psycho",01:48:51,108,
"Cruel Jaws",01:29:41,89,"null"
"Jane Eyre",01:36:20,96,"2/3/44"
"Seven Chances",01:35:43,95,11/25/03
"City Lights",01:25:46,85,"1/30/31"
"Defending Our Kids: The Julie Posey Story",01:25:53,85,"null"
"Where the Heart Is",01:59:56,119,
"Bicentennial Man",02:05:49,125,
"Eye for an Eye",01:32:52,92,
"The Bridge on the River Kwai",02:41:28,161,
"Spellbound",01:58:06,118,
"Tarzan and His Mate",01:41:12,101,
"Mighty Aphrodite",01:31:49,91,
"A Dog's Life",58:55:00,3535,"4/14/18"
"Paths of Glory",01:28:21,88,
"Universal Soldier: The Return",01:22:24,82,
"Decision Before Dawn",01:59:21,119,"12/21/51"
"Young Sherlock Holmes",01:44:25,104,
"Police",01:15:42,75,
"Monsoon",01:25:08,85,"null"
"Slaughter in San Francisco",01:41:20,101,
"Savate",01:23:38,83,"1/14/97"
"Wild Grizzly",01:35:13,95,
"Atomic Train",01:32:50,92,
"Madame Curie",02:02:09,122,"12/15/43"
"Rebecca",02:10:41,130,
"Ali Baba and the Forty Thieves",01:24:52,84,
"D-Day the Sixth of June",01:41:18,101,"5/29/56"
"Around the World in Eighty Days",02:43:25,163,"10/17/56"
"Fugitive Rage (V)",01:17:39,77,"11/19/96"
"Subterfuge",01:19:55,79,"null"
"Tarzan the Ape Man",01:40:06,100,
"Shadow Warriors 2+Assault on Death Mountain",01:29:19,89,"null"
"Pay Day",01:12:48,72,
"Radical Jack",01:23:10,83,"null"
"Final Descent",01:43:00,103,
"The Frogmen",01:36:12,96,
"The Lawnmower Man",01:37:00,97,
"Battle Cry",02:28:25,148,
"Firestarter",01:46:40,106,"9/28/84"
"Shanghaied",01:02:45,62,4/15/10
"Moving Targets",01:34:15,94,"null"
"Fifty",01:34:19,94,"null"
"Savage Justice",01:18:06,78,"null"
"Martial Law II: Undercover",01:23:27,83,
"Farewell to the King",01:46:40,106,
"No Exit",01:26:58,86,"null"
"Arctic Blue",01:31:28,91,
"Hackers",01:24:41,84,"9/15/95"
"Lifeboat",01:36:36,96,
"Logan's War",01:27:17,87,"null"
"One Kill",01:25:55,85,"null"
"Grand Hotel",01:52:20,112,
"Moby Dick",01:54:54,114,
"luck of the draw",01:31:15,91,
"Mojave Moon",01:25:12,85,
"Forbidden Planet",01:38:23,98,
"Music from Another Room",01:36:38,96,
"The Emissary (1989)",01:31:17,91,
"Everyone Says I Love You",01:40:56,100,
"The Little Princess",01:32:21,92,"3/10/39"
"Bathing Beauty",01:36:58,96,
"Silk Degrees",01:32:46,92,
"The Last Tattoo",01:43:14,103,
"Armstrong",01:25:12,85,
"The Count",01:36:40,96,
"Invisible Dad",01:23:33,83,5/18/02
"Final Mission",01:21:05,81,
"Shootfighter II",01:31:08,91,"8/27/96"
"The Evil Below",01:29:41,89,"null"
"Brute Force",01:33:43,93,
"Musketeers Forever",01:30:39,90,
"A Murder of Crows",01:30:06,90,
"For Love of the Game",02:17:55,137,
"Chain of Command",01:27:41,87,"1/9/96"
"Tactical Assault",01:21:58,81,"null"
"Left for Dead",01:33:42,93,"null"
"Martial Law",01:23:54,83,
"Icebreaker",01:27:14,87,"null"
"Nanook of the North",01:18:32,78,
"Mission of Justice",01:27:52,87,"12/2/92"
"Little Women",01:55:28,115,
"Sweet and Lowdown",01:31:22,91,
"Those Love Pangs",01:13:12,73,
"The Lone Ranger;",00:30:00,30,"1/1/99"
"Jack of Hearts",01:24:31,84,"null"
"Zone",01:25:58,85,"null"
"Savage",01:34:10,94,"null"
"A Murder on Shadow Mountain",01:26:23,86,"null"
"Lawnmower Man 2: Beyond Cyberspace",01:24:32,84,
"Captain January",01:15:52,75,
"Limelight",02:11:01,131,
"Ferris Bueller's Day Off",01:43:00,103,"6/11/86"
"Martial Outlaw",01:22:03,82,
"Breaking Free",01:30:07,90,
"Shadow of a Doubt",01:47:47,107,"1/12/43"
"Our Little Girl",01:04:37,64,
"Catch a Falling Star",01:24:16,84,"3/5/00"
"Gaslight",01:53:21,113,
"The Little Colonel",01:21:14,81,
"High Noon",29:03:00,1743,
"Shadow Chaser",01:30:07,90,"null"
"Stranger Than Paradise",01:29:03,89,"10/1/84"
"Viper",01:19:11,79,"null"
"Jack Reed: Death And Vengeance",01:29:33,89,"null"
"The Great Waltz",01:43:32,103,
"The Adventures of Robin Hood",01:39:34,99,
"The Saphead",01:56:25,116,
"The Woman in Green",01:06:59,66,
"Bruno",01:39:48,99,"null"
"The Blue Bird",01:22:45,82,
"All About Eve",02:18:17,138,"10/13/50"
"Mutiny on the Bounty",02:12:36,132,
"Rapid Assault (V)",01:22:32,82,
"The Blue Bird",01:34:32,94,
"Terror by Night",53:22:00,3202,
"Face Down (TV)",01:31:39,91,
"Go West",01:48:41,108,
"Baby Take a Bow",01:14:11,74,
"Dying to Belong",01:25:30,85,"null"
"Held for Ransom",01:27:19,87,
"Forest Warrior",01:37:04,97,
"Human Bomb",01:30:26,90,"null"
"A Jitney Elopement",57:40:00,3460,1/15/04
"The Scarlet Claw",01:13:32,73,"4/4/44"
"For Better Or For Worse",01:27:49,87,"null"
"Fallout",01:27:11,87,
"One Woman's Courage",01:26:20,86,"null"
"Address Unknown",01:28:47,88,"2/27/18"
"Cruel, Cruel Love",35:40:00,2140,"3/26/14"
"High Noon",01:28:26,88,"null"
"Tarzan's Secret Treasure",01:21:11,81,
"Gunbus",01:25:50,85,"null"
"Dark Victory",01:44:01,104,
"Sherlock Holmes in Washington",01:11:03,71,"4/19/43"
"Tarzan Finds a Son!",01:22:08,82,
"The Paradine Case",01:54:10,114,
"Bonjour tristesse",01:30:33,90,
"Heck's Way Home",01:26:14,86,
"The Child Is Lost Forever",01:29:03,89,"null"
"Rescue of Jessica McClure, The",01:30:10,90,"null"
"Three Ages",01:51:00,111,
"Blessed Stranger: After Flight 111",01:27:30,87,
"The Magician",01:36:46,96,
"Blackbeard, the Pirate",01:38:06,98,
"Fathers & Sons",01:26:41,86,"null"
"Steamboat Bill, Jr.",01:50:57,110,12/28/05
"Winds of the Wasteland",53:55:00,3235,"1/1/36"
"As Young As You Feel",01:16:46,76,
"The Lawless Frontier",49:49:00,2989,
"Mr. Deeds Goes to Town",01:55:31,115,"4/12/36"
"The Fire Next Time",01:33:54,93,"null"
"How Green Was My Valley",01:59:00,119,
"Mom's outta sight",01:24:39,84,"null"
"Who Gets the House",01:32:45,92,"null"
"The Fireball",01:23:14,83,
"The Lost Weekend",01:40:09,100,"11/16/45"
"Another you",01:27:02,87,"null"
"Christmas Eve",01:32:36,92,"null"
"Chance of a Lifetime (TV)",01:32:10,92,"11/18/91"
"Randy Rides Alone",52:19:00,3139,
"N.Y.P.D. Mounted",01:26:37,86,"null"
"Invisible Mom II",01:26:33,86,"null"
"The War Between Us",01:27:09,87,"null"
"Sherlock Holmes and the Voice of Terror",01:05:01,65,"9/18/42"
"The Force",01:30:52,90,"12/31/94"
"A Case of Deadly Force",01:34:03,94,"null"
"Permanent Vacation",01:14:34,74,
"Return to the Secret Garden",01:22:22,82,"null"
"50/50-Double Jeopardy",01:34:09,94,"null"
"Run for the Boarder",01:27:50,87,"null"
"The Navigator",01:46:28,106,
"Tarzan Escapes",01:29:21,89,
"Night Train",01:26:27,86,"null"
"Johnny Mnemonic",01:27:16,87,"null"
"Tarzan's New York Adventure",01:10:41,70,
"The Inspectors",01:33:41,93,"null"
"American Kickboxer",01:25:19,85,"null"
"First Daughter",01:29:32,89,"null"
"Echo;Deadly' Echo",01:25:33,85,"null"
"Little Miss Broadway",01:11:48,71,
"Wee Willie Winkie",01:39:38,99,
"Shadow of Doubt",01:33:05,93,"null"
"The Harder They Fall",01:48:43,108,
"Revelation",01:24:47,84,
"Captured",01:27:35,87,"null"
"Have You Seen My Son",01:27:32,87,"null"
"stowaway",01:26:48,86,
"Bridge to Silence",01:27:06,87,"4/9/89"
"Til There Was You",01:22:24,82,"null"
"Behind The Screen",49:42:00,2982,
"American Samurai (V)",01:20:14,80,
"Variety Lights",01:36:36,96,
"Shattered Image",01:27:40,87,"null"
"The Fire Next Time",01:36:43,96,"null"
"Designing Woman",01:57:40,117,
"Resting Place (TV)",01:34:24,94,"4/27/86"
"Desiree",01:50:00,110,
"The Vagabond",01:12:40,72,12/12/01
"Poor Little Rich Girl",01:19:20,79,
"The Man Who Knew Too Much",01:59:07,119,"6/1/56"
"Escape Clause",01:27:10,87,"null"
"Bright Eyes",01:24:38,84,
"The Fisher King",02:10:32,130,
"Burlesque on Carmen",50:35:00,3035,
"Ghost Dog",01:23:30,83,"null"
"Dimples",01:18:33,78,
"The Wrong Woman",01:27:56,87,"11/7/95"
"Evasive Action",01:27:16,87,
"Sherlock Holmes Faces Death",01:07:37,67,
"The Littlest Rebel",01:13:35,73,
"Mom, Can I Keep Her?",01:23:13,83,
"A Night Out",58:55:00,3535,
"Ground Zero",01:32:40,92,"5/20/00"
"Bus Stop",01:34:23,94,
"Street Knight",01:21:37,81,"null"
"Red River",02:12:42,132,"8/26/48"
"Sherlock Holmes and the Secret Weapon",01:08:06,68,"1/4/43"
"Crime Lords",01:24:56,84,"null"
"Drop Dead Gorgeous",01:37:59,97,
"Tango Tangles",01:10:49,70,
"Aurora: Operation Intercept",01:27:49,87,
"The Birds",01:59:11,119,"3/28/63"
"Kansas City",01:56:01,116,
"Sea Devils",01:23:09,83,"null"
"Universal Soldier II: Brothers in Arms",01:24:36,84,"null"
"Deconstructing Harry",01:23:15,83,
"For Whom the Bell Tolls",02:36:01,156,"7/14/43"
"Our Hospitality",01:57:23,117,"11/19/23"
"Prey of the Jaguar",01:27:31,87,"null"
"Gang in Blue",01:29:33,89,"null"
"Bounty Tracker",01:22:30,82,
"The Protector",01:27:02,87,"null"
"The Secret Agent Club",01:22:48,82,"12/31/96"
"The Whole Wide World",01:33:32,93,"1/1/96"
"A Tale of Two Cities",02:04:31,124,"12/25/35"
"Body Shot",01:21:59,81,
"The Guilty",01:42:03,102,"9/23/00"
"919 Fifth Avenue",01:26:34,86,"null"
"Open Fire",01:25:40,85,"null"
"Night Watch",01:32:30,92,"10/4/95"
"Kiss Me Deadly",01:45:44,105,
"Nick of Time",01:25:14,85,
"The Courage to Love",01:21:16,81,5/18/02
"License To Kill",01:32:08,92,
"Rebecca of Sunnybrook Farm",01:20:49,80,
"Notorious",01:41:24,101,"8/15/46"
"Frankie and Johnny",01:52:58,112,
"The House of Fear",01:08:51,68,"2/8/45"
"Vertigo",02:08:47,128,
"Memorial Day",01:27:10,87,
"Maximum Revenge",01:14:33,74,
"Stranger in the House",01:27:11,87,"null"
"Final Voyage",01:27:49,87,"12/31/99"
"Deadly Exposure",01:34:08,94,"null"
"River of No Return",01:30:52,90,
"Freedom Strike",01:23:34,83,"6/23/98"
"Bird of Prey",01:28:37,88,
"Survivor",01:27:49,87,"null"
"On Hostile Ground",01:29:03,89,
"Arthur's Quest",01:22:16,82,
"The Tramp",01:47:30,107,12/15/04
"Hangmen",01:30:01,90,
"Always",02:02:16,122,
"Crash Point Zero",01:25:42,85,"8/28/01"
"The Killing",01:24:39,84,
"Gunshy",01:32:23,92,"4/26/99"
"Hybrid",01:14:48,74,
"Takedown",01:30:51,90,
"Gargoyles: The Heroes Awaken",01:27:09,87,
"Creepshow 2",01:28:17,88,
"A River Runs Through It",02:03:36,123,
"Mission: Improbable(TV)",01:37:37,97,"null"
"Tarzan: The Epic Adventure",01:23:19,83,"null"
"Blackjack",01:31:12,91,
"Citizen Kane",01:59:23,119,
"Mercenary (TV)",01:35:00,95,"1/17/97"
"Starforce",01:26:35,86,"7/10/00"
"Flight of Black Angel",01:34:02,94,"2/27/18"
"American Cyborg: Steel Warrior",01:25:15,85,
"The Last Time I Saw Paris",01:55:45,115,
"The Prisoner of Shark Island",01:31:15,91,"1/1/36"
"Angel The Kickboxer",01:30:21,90,"1/13/93"
"Marabunta",01:29:48,89,"null"
"The General",01:56:24,116,"null"
"Pride and Prejudice",01:56:26,116,"7/26/40"
"It Happened One Night",01:45:03,105,
"Rear Window",01:52:30,112,
"The Quick and the Dead",01:46:55,106,
"Vertical Limit",02:04:25,124,
"All Quiet on the Western Front",02:09:46,129,
"Counter Measures",01:22:33,82,"1/18/18"
"The Adventurer",01:38:00,98,
"The Merry Widow",01:38:35,98,
"Camille",01:48:36,108,
"The Real McCoy",01:29:00,89,
"The Man Who Saved Christmas",01:29:58,89,"null"
"Active Stealth",01:32:41,92,"7/11/00"
"Steel City",01:35:36,95,
"Single Santa Seeks Mrs. Claus",01:19:48,79,
"What Women Want",02:06:09,126,"12/13/00"
"A Carol Christmas",01:20:05,80,"null"
"These Old Broads",01:21:59,81,"null"
"Roman Holiday",01:58:08,118,"8/27/53"
"Domestic Import",01:41:20,101,
"The Hollywood Mom's Mystery",01:21:57,81,"null"
"Chapter 27",01:16:41,76,
"sacrifices of the heart",01:20:18,80,"null"
"The Great New Wonderful",01:23:29,83,
"Wedding Night",01:22:53,82,"null"
"The Hawk Is Dying",01:45:48,105,
"The Perfect Holiday",01:35:53,95,
"The Dukes",01:37:00,97,
"All Hat",01:31:11,91,
"Holidaze: The Christmas That Almost Didn",01:00:28,60,
"Lonesome Jim",01:31:08,91,
"The Note",01:27:08,87,8/7/12
"White Air",01:21:30,81,
"The Ape",01:31:21,91,
"Kabluey",01:26:26,86,
"The Kid Stays in the Picture",01:27:00,87,
"People I Know",01:39:37,99,
"Disappearances",01:26:57,86,"7/14/95"
"The Lost Princess",01:10:05,70,
"frank",01:34:56,94,
"Home of the Giants",01:34:10,94,"5/14/08"
"Where Love Has Gone",01:49:27,109,
"The River",01:44:50,104,
"Watching the Detectives",01:34:06,94,
"Inferno",01:33:50,93,
"Hush",01:29:36,89,
"The Errand Boy",01:28:43,88,
"Up Tight",01:39:40,99,
"Child's Play",01:35:54,95,
"The Sterile Cuckoo",01:47:16,107,
"My Chauffeur",01:33:06,93,
"Cinderfella",01:24:18,84,
"Get Bruce",01:12:54,72,
"Delirious",01:32:37,92,
"Hello Down There",01:33:23,93,
"True Stories",01:29:10,89,
"The Atomic City",01:21:01,81,
"Funny Farm",01:41:22,101,
"Fun in Acapulco",01:32:59,92,
"Gerry",01:42:39,102,
"Boeing Boeing",01:38:33,98,
"Clean Slate",01:27:38,87,"5/6/94"
"The Big Tease",01:26:23,86,
"Paradise, Hawaiian Style",01:27:13,87,
"Grumpier Old Men",01:40:58,100,
"Hurry Sundown",02:16:12,136,
"American Graffiti",01:52:23,112,"8/11/73"
"Riding High",01:47:07,107,
"Cadence",01:33:01,93,
"The Journey of August King",01:32:29,92,
"Copper Canyon",01:20:10,80,
"No Way to Treat a Lady",01:43:41,103,
"Mach 2",01:27:00,87,"3/13/01"
"The President's Analyst",01:38:38,98,
"The Five Pennies",01:52:31,112,
"The Night of the Grizzly",01:37:40,97,
"My Favorite Spy",01:29:24,89,
"Long Day",02:43:21,163,
"The Enforcer",01:21:55,81,
"Paranoid Park",01:21:02,81,
"The Producers",02:14:24,134,
"Flight of Fancy",01:36:08,96,
"Moon Over Parador",01:40:11,100,
"Firstborn",01:36:09,96,
"The Devil to Pay!",01:12:43,72,
"Houdini",01:41:39,101,
"Hav Plenty",01:27:31,87,
"The Flintstones in Viva Rock Vegas",01:30:51,90,"4/28/00"
"The River Rat",01:28:49,88,
"Pontiac Moon",01:42:19,102,
"The Brotherhood",01:32:09,92,
"Black Cadillac",01:25:24,85,
"The Court Jester",01:37:04,97,
"Flame of Barbary Coast",01:27:26,87,
"Faithful",01:31:48,91,
"Goin",01:44:06,104,
"Past Perfect",01:28:39,88,
"The Kid from Brooklyn",01:48:53,108,
"Border Blues",01:26:01,86,
"Detective Story",01:39:05,99,"10/24/51"
"Branded",01:30:21,90,
"No Man Of Her Own",01:33:27,93,"12/15/32"
"A Star Is Born",02:54:54,174,
"The Miracle of Morgan",01:34:31,94,
"Far from Heaven",01:47:19,107,
"Warning Shot",01:35:53,95,
"Blowing Wild",01:25:45,85,
"European Vacation",01:32:47,92,
"Arrowhead",01:41:02,101,"8/3/53"
"The File on Thelma Jordon",01:36:02,96,
"The Night We Never Met",01:38:31,98,
"Will Penny",01:45:13,105,
"The Secret of Hidden Lake",01:27:50,87,
"Bill & Ted's Excellent Adventure",01:30:17,90,"9/15/90"
"Johnny Reno",01:19:37,79,
"The Atomic Kid",01:22:27,82,
"Cloak and Dagger",01:42:17,102,
"Atom Nine Adventures",01:17:15,77,1/8/03
"Purple Rain",01:50:50,110,
"Ivanhoe",01:46:41,106,
"Posse",01:28:28,88,
"Grumpy Old Men",01:43:28,103,
"The Fighting Kentuckian",01:35:57,95,
"Steep",01:30:11,90,
"The Sea Hawk",02:07:39,127,
"Waking the Dead",01:43:44,103,
"The Bellboy",01:08:53,68,
"Roustabout",01:37:18,97,
"Oi! Get Off Our Train",29:44:00,1784,
"Winter Kills",01:27:31,87,"5/11/79"
"The Black Orchid",01:30:20,90,
"Father Goose",01:51:50,111,
"City Heat",01:37:26,97,
"Shout",01:28:22,88,
"Run for Cover",01:28:36,88,
"Rio Grande",01:40:47,100,
"Guys and Dolls",02:29:29,149,
"Champion",01:34:47,94,
"Lenny the Wonder Dog",01:16:23,76,
"Then She Found Me",01:40:20,100,
"On the Double",01:28:02,88,
"Lorenzo's Oil",02:15:06,135,
"Strategic Air Command",01:49:11,109,
"Cleaner",01:28:47,88,"5/27/08"
"The Goodbye Girl",01:45:58,105,
"Jetsons: The Movie",01:22:05,82,
"Gung Ho",01:47:28,107,
"Wings",02:18:25,138,
"Soapdish",01:32:29,92,
"We're No Angels",01:45:34,105,
"Assassination",01:24:28,84,
"Dodsworth",01:39:22,99,
"The Nutty Professor",01:43:01,103,
"In Too Deep",01:28:10,88,
"Miracle Dogs Too",01:24:25,84,
"Dinner at Eight",01:46:23,106,
"Resurrecting the Champ",01:51:55,111,
"Imagine: John Lennon",01:44:03,104,
"Lean on Me",01:48:34,108,
"Chasing Amy",01:53:04,113,
"Tin Cup",02:14:40,134,
"Made in America",01:50:25,110,
"Cat on a Hot Tin Roof",01:48:04,108,
"The Best Years of Our Lives",02:50:36,170,
"Farscape: The Peacekeeper Wars",01:27:30,87,"null"
"Cool World",01:37:29,97,
"The Sons of Katie Elder",01:56:49,116,
"It's Only Money",01:20:12,80,
"Wag the Dog",01:36:55,96,
"Blackbeard",01:20:19,80,
"Seven Men from Now",01:14:48,74,
"Action Jackson",01:34:44,94,
"Killer Wave",01:24:40,84,
"On the Waterfront",01:43:06,103,
"Something to Live For",01:25:24,85,
"Danger Zone",01:26:31,86,
"Murder Party",01:19:27,79,
"Lady in a Cage",01:30:46,90,
"McLintock!",02:02:05,122,
"Today You Die",01:30:47,90,"9/13/05"
"Hondo",01:20:36,80,
"The Outsiders",01:54:59,114,"3/25/83"
"Regarding Henry",01:42:52,102,
"The Crossing Guard",01:47:33,107,
"Selena",02:07:26,127,
"Libeled Lady",01:34:13,94,
"Lost & Found",01:39:39,99,
"Delta Force 2: Operation Stranglehold",01:46:08,106,
"Driftwood",01:25:55,85,
"Point of Entry",01:23:34,83,
"My Side of the Mountain",01:36:13,96,
"G.I. Blues",01:39:36,99,
"The Pawnbroker",01:54:39,114,
"The Hard Way",01:50:43,110,
"My Fellow Americans",01:41:08,101,
"Crazy People",01:27:37,87,
"Committed",01:37:51,97,
"Parenthood",02:03:36,123,
"Passport to Paris",01:27:27,87,
"Children of the Corn V: Fields of Terror",01:23:09,83,
"If The Shoe Fits",01:26:51,86,
"The Station Agent",01:29:29,89,
"Tequila Sunrise",01:53:37,113,
"Awakenings",02:00:32,120,
"Mrs. Miniver",02:13:38,133,
"City Hall",01:51:16,111,
"The In-Laws",01:42:45,102,
"When a Man Loves a Woman;Significant Other;To Have and to Hold",02:00:24,120,"5/13/94"
"Airplane II: The Sequel",01:20:27,80,
"Harlow",02:05:29,125,
"Mickey Blue Eyes",01:42:11,102,
"The Conversation",01:48:31,108,"4/7/74"
"Strange Days",02:19:23,139,
"The Blues Brothers",02:12:30,132,
"The Crude Oasis",01:17:54,77,
"Carrie",01:56:38,116,
"The Boxer",01:53:37,113,
"Dead Again",01:43:17,103,
"National Lampoon's Vacation",01:37:57,97,"7/29/83"
"Edison",01:39:09,99,"7/18/06"
"Nashville",02:33:13,153,
"Death Becomes Her",01:43:21,103,
"Being John Malkovich",01:41:04,101,
"Surf's Up",01:25:29,85,
"Down to You",01:31:42,91,
"Message in a Bottle",02:10:46,130,
"Analyze This",01:43:34,103,
"Internal Affairs",01:38:23,98,
"Supernova",01:21:06,81,5/5/09
"The Big Bad Swim",01:31:57,91,
"Coneheads",01:23:15,83,
"Delta Force One: The Lost Patrol",02:03:46,123,
"Ed Wood",02:06:31,126,
"Blue Steel",01:40:07,100,
"It Could Happen to You",01:37:14,97,
"Any Given Sunday",02:15:24,135,
"Patch Adams",01:55:16,115,
"Splendor in the Grass",02:03:55,123,
"Asteroid vs Earth",01:25:38,85,
"Logan's Run",01:55:42,115,
"I Married a Monster",01:14:41,74,
"Emma",02:00:43,120,
"The Rainmaker",01:56:26,116,
"Music of the Heart",02:03:25,123,
"Tom Horn",01:37:32,97,
"Presumed Innocent",02:04:22,124,
"The Fearless Vampire Killers",01:43:02,103,
"Robinson Crusoe on Mars",01:45:12,105,
"Gremlins",01:46:14,106,
"Chill Factor",01:41:52,101,
"Copycat",02:02:10,122,
"The Client",02:00:49,120,
"Quest for Camelot",01:25:57,85,
"Bloodline",01:48:33,108,
"The Yards",01:52:13,112,
"Dirty Harry",01:41:14,101,
"To Catch a Thief",01:42:07,102,
"Silver City",01:26:54,86,
"Young Guns II",01:43:45,103,
"Robin Hood",01:19:36,79,
"Bounce",01:46:15,106,
"Inspector Gadget",01:15:03,75,
"Invasion of the Body Snatchers",01:16:59,76,
"The Two Jakes",02:11:52,131,
"Hitler: The Rise Of Evil",01:28:14,88,"null"
"Love Streams",02:15:23,135,
"Bringing Out the Dead",02:01:01,121,
"The 'Burbs",01:41:17,101,"2/17/89"
"Heartburn",01:44:54,104,
"Cat people",01:47:46,107,
"The Portrait of a Lady",02:24:18,144,
"Dennis the Menace",01:35:55,95,
"Children of the Corn IV: The Gathering",01:25:00,85,
"The General's Daughter",01:52:40,112,
"The Bridges at Toko-Ri",01:39:04,99,
"What Dreams May Come",01:53:31,113,
"Pink Cadillac",01:56:06,116,
"Thursday",01:25:16,85,
"The American President",01:53:43,113,
"Curly Sue",01:41:58,101,
"Good Morning, Vietnam",02:01:01,121,
"Heidi",01:28:03,88,
"Star Trek V: The Final Frontier",01:46:33,106,
"Hook",02:15:50,135,
"The Illusionist",01:48:56,108,1/6/09
"Dave",01:49:53,109,
"School Ties",01:42:53,102,
"Hard to Kill",01:35:39,95,
"The Thing Called Love",01:49:47,109,
"A Walk in the Clouds",01:37:59,97,
"Next Stop Wonderland",01:35:54,95,
"Foxfire",01:33:56,93,
"Maverick",02:06:35,126,
"Dolores Claiborne",02:11:31,131,
"Open Window",01:37:21,97,
"Sour Grapes",01:28:04,88,
"Without Limits",01:58:05,118,
"Instinct",01:58:28,118,
"Space Cowboys",02:05:06,125,
"Pale Rider",01:55:47,115,
"The Enforcer",01:36:14,96,
"The Wings of the Dove",01:34:17,94,
"The First Deadly Sin",01:47:18,107,
"Dick Tracy",01:45:03,105,
"Sleepers",02:26:01,146,
"Addicted to Love",01:40:27,100,
"Open Range",02:12:24,132,11/3/08
"Sea of Love",01:51:00,111,
"The Merchant Of Venice",01:59:29,119,"null"
"Fear",01:36:51,96,
"Falling Down",01:52:36,112,
"Glory",01:57:09,117,
"Flyboys",02:18:45,138,"9/22/06"
"Drop Zone",01:37:21,97,
"Snake Eyes",01:38:17,98,
"Stepmom",02:05:04,125,
"The Last Boy Scout",01:38:37,98,
"Gia",01:57:19,117,
"Don't Blink",01:32:20,92,
"The Wizard of Oz",01:41:45,101,
"King Solomon's Mines",01:27:54,87,
"The Crow: City of Angels",01:15:08,75,
"Bewitched",01:37:47,97,
"A Streetcar Named Desire",02:04:55,124,
"Star Trek II: The Wrath of Khan",01:53:02,113,
"The Last Temptation of Christ",02:35:58,155,
"Cold Heart",01:26:56,86,
"The Carpetbaggers",02:23:51,143,
"The Naked Jungle",01:31:31,91,
"Barefoot in the Park",01:41:42,101,
"Love Affair",01:47:59,107,
"The River Wild",01:51:13,111,
"Blue Chips",01:43:27,103,
"Wuthering Heights",01:44:00,104,
"Flying Tigers",01:41:51,101,
"Stuart Little 3: Call of the Wild",01:12:07,72,
"Arachnia",01:20:03,80,"null"
"Where the Red Fern Grows",01:24:18,84,
"Meet the Parents",01:47:40,107,"10/6/00"
"The 13th Warrior",01:38:24,98,
"The Caterpillar's Kimono",01:26:14,86,
"Creepshow",01:47:35,107,
"Final Analysis",02:03:44,123,
"Sister Act",01:35:58,95,
"Lethal Weapon 2",01:52:47,112,
"Centipede",01:33:39,93,
"April Fool's Day",01:24:19,84,
"Great Expectations",01:41:40,101,"1/30/98"
"Beetlejuice",01:32:04,92,
"Factory Girl",01:39:45,99,
"Maximum Risk",01:35:46,95,
"Sphere",02:14:13,134,
"A Perfect Murder",01:45:18,105,
"Ten Inch Hero",01:37:46,97,
"Open Season",01:26:13,86,"9/29/06"
"Friday the 13th: The Final Chapter",01:25:04,85,
"Kickboxer",01:37:30,97,
"Hard Target",01:39:31,99,
"The Naked Prey",01:31:37,91,
"The Game",02:08:32,128,
"Friday the 13th Part VII: The New Blood",01:23:56,83,
"Fallen",02:04:11,124,
"The Tigger Movie",01:17:07,77,
"The Human Stain",01:46:14,106,
"Total Recall",01:53:04,113,"6/1/90"
"The Devil's Advocate",02:16:12,136,
"Seraphim Falls",01:50:22,110,
"Flight of the Intruder",01:50:03,110,
"Junior",01:49:26,109,
"10 Things I Hate About You",01:37:36,97,
"Class of 1999",01:36:10,96,
"Falling in Love",01:42:03,102,
"The Hunchback of Notre Dame",01:27:02,87,
"Unbreakable",01:46:39,106,
"13 families",01:19:14,79,
"Lethal Weapon",01:43:27,103,
